;country;description;designation;points;price;region_1;taster_name;title;variety;winery
0;Italy;"['[', ""'Aromas"", ""'"", ',', ""'include"", ""'"", ',', ""'tropical"", ""'"", ',', ""'fruit"", ""'"", ',', ""'"", ',', ""'"", ',', ""'broom"", ""'"", ',', ""'"", ',', ""'"", ',', ""'brimstone"", ""'"", ',', ""'dried"", ""'"", ',', ""'herb"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'palate"", ""'"", ',', '``', ""n't"", ""''"", ',', ""'overly"", ""'"", ',', ""'expressive"", ""'"", ',', ""'"", ',', ""'"", ',', ""'offering"", ""'"", ',', ""'unripened"", ""'"", ',', ""'apple"", ""'"", ',', ""'"", ',', ""'"", ',', ""'citrus"", ""'"", ',', ""'dried"", ""'"", ',', ""'sage"", ""'"", ',', ""'alongside"", ""'"", ',', ""'brisk"", ""'"", ',', ""'acidity"", ""'"", ',', ""'"", '.', ""'"", ']']";Vulkà Bianco;87;;Etna;Kerin O’Keefe;Nicosia 2013 Vulkà Bianco  (Etna);White Blend;Nicosia
1;Portugal;"['[', ""'This"", ""'"", ',', ""'ripe"", ""'"", ',', ""'fruity"", ""'"", ',', ""'"", ',', ""'"", ',', ""'wine"", ""'"", ',', ""'smooth"", ""'"", ',', ""'still"", ""'"", ',', ""'structured"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Firm"", ""'"", ',', ""'tannins"", ""'"", ',', ""'filled"", ""'"", ',', ""'juicy"", ""'"", ',', ""'red"", ""'"", ',', ""'berry"", ""'"", ',', ""'fruits"", ""'"", ',', ""'freshened"", ""'"", ',', ""'acidity"", ""'"", ',', ""'"", '.', ""'"", ',', ""'It"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'already"", ""'"", ',', ""'drinkable"", ""'"", ',', ""'"", ',', ""'"", ',', ""'although"", ""'"", ',', ""'certainly"", ""'"", ',', ""'better"", ""'"", ',', ""'2016"", ""'"", ',', ""'"", '.', ""'"", ']']";Avidagos;87;15.0;;Roger Voss;Quinta dos Avidagos 2011 Avidagos Red (Douro);Portuguese Red;Quinta dos Avidagos
2;US;"['[', ""'Tart"", ""'"", ',', ""'snappy"", ""'"", ',', ""'"", ',', ""'"", ',', ""'flavors"", ""'"", ',', ""'lime"", ""'"", ',', ""'flesh"", ""'"", ',', ""'rind"", ""'"", ',', ""'dominate"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Some"", ""'"", ',', ""'green"", ""'"", ',', ""'pineapple"", ""'"", ',', ""'pokes"", ""'"", ',', ""'"", ',', ""'"", ',', ""'crisp"", ""'"", ',', ""'acidity"", ""'"", ',', ""'underscoring"", ""'"", ',', ""'flavors"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'wine"", ""'"", ',', ""'stainless-steel"", ""'"", ',', ""'fermented"", ""'"", ',', ""'"", '.', ""'"", ']']";;87;14.0;Willamette Valley;Paul Gregutt;Rainstorm 2013 Pinot Gris (Willamette Valley);Pinot Gris;Rainstorm
3;US;"['[', ""'Pineapple"", ""'"", ',', ""'rind"", ""'"", ',', ""'"", ',', ""'"", ',', ""'lemon"", ""'"", ',', ""'pith"", ""'"", ',', ""'orange"", ""'"", ',', ""'blossom"", ""'"", ',', ""'start"", ""'"", ',', ""'aromas"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'palate"", ""'"", ',', ""'bit"", ""'"", ',', ""'opulent"", ""'"", ',', ""'"", ',', ""'"", ',', ""'notes"", ""'"", ',', ""'honey-drizzled"", ""'"", ',', ""'guava"", ""'"", ',', ""'mango"", ""'"", ',', ""'giving"", ""'"", ',', ""'way"", ""'"", ',', ""'slightly"", ""'"", ',', ""'astringent"", ""'"", ',', ""'"", ',', ""'"", ',', ""'semidry"", ""'"", ',', ""'finish"", ""'"", ',', ""'"", '.', ""'"", ']']";Reserve Late Harvest;87;13.0;Lake Michigan Shore;Alexander Peartree;St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore);Riesling;St. Julian
4;US;"['[', ""'Much"", ""'"", ',', ""'like"", ""'"", ',', ""'regular"", ""'"", ',', ""'bottling"", ""'"", ',', ""'2012"", ""'"", ',', ""'"", ',', ""'"", ',', ""'comes"", ""'"", ',', ""'across"", ""'"", ',', ""'rather"", ""'"", ',', ""'rough"", ""'"", ',', ""'tannic"", ""'"", ',', ""'"", ',', ""'"", ',', ""'rustic"", ""'"", ',', ""'"", ',', ""'"", ',', ""'earthy"", ""'"", ',', ""'"", ',', ""'"", ',', ""'herbal"", ""'"", ',', ""'characteristics"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Nonetheless"", ""'"", ',', ""'"", ',', ""'"", ',', ""'think"", ""'"", ',', ""'pleasantly"", ""'"", ',', ""'unfussy"", ""'"", ',', ""'country"", ""'"", ',', ""'wine"", ""'"", ',', ""'"", ',', ""'"", ',', '``', ""'s"", ""''"", ',', ""'good"", ""'"", ',', ""'companion"", ""'"", ',', ""'hearty"", ""'"", ',', ""'winter"", ""'"", ',', ""'stew"", ""'"", ',', ""'"", '.', ""'"", ']']";Vintner's Reserve Wild Child Block;87;65.0;Willamette Valley;Paul Gregutt;Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley);Pinot Noir;Sweet Cheeks
5;Spain;"['[', ""'Blackberry"", ""'"", ',', ""'raspberry"", ""'"", ',', ""'aromas"", ""'"", ',', ""'show"", ""'"", ',', ""'typical"", ""'"", ',', ""'Navarran"", ""'"", ',', ""'whiff"", ""'"", ',', ""'green"", ""'"", ',', ""'herbs"", ""'"", ',', ""'"", ',', ""'"", ',', ""'case"", ""'"", ',', ""'"", ',', ""'"", ',', ""'horseradish"", ""'"", ',', ""'"", '.', ""'"", ',', ""'In"", ""'"", ',', ""'mouth"", ""'"", ',', ""'"", ',', ""'"", ',', ""'fairly"", ""'"", ',', ""'full"", ""'"", ',', ""'bodied"", ""'"", ',', ""'"", ',', ""'"", ',', ""'tomatoey"", ""'"", ',', ""'acidity"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Spicy"", ""'"", ',', ""'"", ',', ""'"", ',', ""'herbal"", ""'"", ',', ""'flavors"", ""'"", ',', ""'complement"", ""'"", ',', ""'dark"", ""'"", ',', ""'plum"", ""'"", ',', ""'fruit"", ""'"", ',', ""'"", ',', ""'"", ',', ""'finish"", ""'"", ',', ""'fresh"", ""'"", ',', ""'grabby"", ""'"", ',', ""'"", '.', ""'"", ']']";Ars In Vitro;87;15.0;Navarra;Michael Schachner;Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra);Tempranillo-Merlot;Tandem
6;Italy;"['[', ""'Here"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'bright"", ""'"", ',', ""'"", ',', ""'"", ',', ""'informal"", ""'"", ',', ""'red"", ""'"", ',', ""'opens"", ""'"", ',', ""'aromas"", ""'"", ',', ""'candied"", ""'"", ',', ""'berry"", ""'"", ',', ""'"", ',', ""'"", ',', ""'white"", ""'"", ',', ""'pepper"", ""'"", ',', ""'savory"", ""'"", ',', ""'herb"", ""'"", ',', ""'carry"", ""'"", ',', ""'palate"", ""'"", ',', ""'"", '.', ""'"", ',', ""'It"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'balanced"", ""'"", ',', ""'fresh"", ""'"", ',', ""'acidity"", ""'"", ',', ""'soft"", ""'"", ',', ""'tannins"", ""'"", ',', ""'"", '.', ""'"", ']']";Belsito;87;16.0;Vittoria;Kerin O’Keefe;Terre di Giurfo 2013 Belsito Frappato (Vittoria);Frappato;Terre di Giurfo
7;France;"['[', ""'This"", ""'"", ',', ""'dry"", ""'"", ',', ""'restrained"", ""'"", ',', ""'wine"", ""'"", ',', ""'offers"", ""'"", ',', ""'spice"", ""'"", ',', ""'profusion"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Balanced"", ""'"", ',', ""'acidity"", ""'"", ',', ""'firm"", ""'"", ',', ""'texture"", ""'"", ',', ""'"", ',', ""'"", ',', '``', ""'s"", ""''"", ',', ""'much"", ""'"", ',', ""'food"", ""'"", ',', ""'"", '.', ""'"", ']']";;87;24.0;Alsace;Roger Voss;Trimbach 2012 Gewurztraminer (Alsace);Gewürztraminer;Trimbach
8;Germany;"['[', ""'Savory"", ""'"", ',', ""'dried"", ""'"", ',', ""'thyme"", ""'"", ',', ""'notes"", ""'"", ',', ""'accent"", ""'"", ',', ""'sunnier"", ""'"", ',', ""'flavors"", ""'"", ',', ""'preserved"", ""'"", ',', ""'peach"", ""'"", ',', ""'brisk"", ""'"", ',', ""'"", ',', ""'"", ',', ""'off-dry"", ""'"", ',', ""'wine"", ""'"", ',', ""'"", '.', ""'"", ',', ""'It"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'fruity"", ""'"", ',', ""'fresh"", ""'"", ',', ""'"", ',', ""'"", ',', ""'elegant"", ""'"", ',', ""'"", ',', ""'"", ',', ""'sprightly"", ""'"", ',', ""'footprint"", ""'"", ',', ""'"", '.', ""'"", ']']";Shine;87;12.0;;Anna Lee C. Iijima;Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen);Gewürztraminer;Heinz Eifel
9;France;"['[', ""'This"", ""'"", ',', ""'great"", ""'"", ',', ""'depth"", ""'"", ',', ""'flavor"", ""'"", ',', ""'fresh"", ""'"", ',', ""'apple"", ""'"", ',', ""'pear"", ""'"", ',', ""'fruits"", ""'"", ',', ""'touch"", ""'"", ',', ""'spice"", ""'"", ',', ""'"", '.', ""'"", ',', ""'It"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'dry"", ""'"", ',', ""'balanced"", ""'"", ',', ""'acidity"", ""'"", ',', ""'crisp"", ""'"", ',', ""'texture"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Drink"", ""'"", ',', ""'"", '.', ""'"", ']']";Les Natures;87;27.0;Alsace;Roger Voss;Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace);Pinot Gris;Jean-Baptiste Adam
